,맥주,Aroma,Appearance,Flavor,Mouthfeel,Overall
0,Egger Märzenbier,4.841530054644808,2.8360655737704916,5.032786885245901,2.622950819672131,9.666666666666666
0,Holsten Premium Bier,4.470997679814385,2.6751740139211138,4.758700696055684,2.519721577726218,9.334106728538282
2,Franziskaner Hefe-Weissbier / Weissbier Naturtrub,6.954520089285714,3.8521205357142856,7.133370535714286,3.595703125,14.648716517857142
0,Egger Grapefruit Radler,4.531914893617022,2.6595744680851063,4.723404255319149,2.4680851063829787,8.914893617021276
1,Bavaria Pilsener / Premium Beer,4.013916500994036,2.6640159045725644,4.353876739562624,2.418489065606362,8.55666003976143
0,Bavaria 8.6 (Original),4.117816091954023,2.7241379310344827,4.281609195402299,2.413793103448276,8.333333333333334
1,Lapin Kulta IV A,4.163487738419619,2.6920980926430516,4.397820163487738,2.4359673024523163,8.482288828337875
0,Grolsch Premium Lager,4.599107142857143,3.005357142857143,5.08125,2.757589285714286,10.284375
0,Gambrinus Originál 10° (Desítka),4.755980861244019,3.0526315789473686,4.954545454545454,2.715311004784689,9.789473684210526
0,Castlemaine XXXX Gold Lager,3.442786069651741,2.6069651741293534,3.810945273631841,2.1691542288557213,7.383084577114428
0,Leffe Brune / Bruin / Brown,6.621431526685974,3.7927182457592057,6.866363260239967,3.489863467107985,14.066611501861813
0,Löwenbräu Original (4.2%),3.6153846153846154,2.076923076923077,3.8076923076923075,2.0384615384615383,7.576923076923077
0,Asahi Super Dry Black,4.863247863247863,3.3076923076923075,5.145299145299146,2.700854700854701,10.538461538461538
0,Harbin Beer,3.70392749244713,2.4290030211480365,3.915407854984894,2.2779456193353473,7.697885196374623
0,Beck's,4.270348837209302,2.715531561461794,4.709717607973422,2.552325581395349,9.325996677740864
0,Hoegaarden Rosée,5.162911611785096,2.967071057192374,4.804159445407279,2.58578856152513,9.573656845753899
0,Platinum White Ale,7.0,4.0,9.0,5.0,16.0
0,Platinum Pale Ale,5.666666666666667,3.0,5.777777777777778,3.0,11.88888888888889
0,Mallaskosken Kuohu Amber Lager Special Edition,6.333333333333333,3.3333333333333335,6.333333333333333,3.0,12.333333333333334
0,Schöfferhofer Grapefruit,5.800925925925926,3.0848765432098766,5.677469135802469,2.91820987654321,11.165123456790123
0,Volfas Engelman Grünberger Hefeweizen,6.545454545454546,3.1818181818181817,6.363636363636363,3.090909090909091,12.272727272727273
0,Berliner Kindl Jubiläums Pilsener Premium,4.918149466192171,2.97864768683274,5.170818505338079,2.800711743772242,10.256227758007118
0,Burge Meester Shandy Lemon,4.5,3.0,5.0,2.0,8.5
0,Red Rock,3.2,2.8666666666666667,3.6666666666666665,2.2666666666666666,6.4
0,Erdinger Weissbier Dunkel,6.013615733736763,3.7085224407463437,6.295007564296521,3.2455874936964197,12.976802824004034
0,Warsteiner Premium Verum,5.010283833813245,3.006581653640477,5.401480872069107,2.8959276018099547,10.882764294529
